,VentNoeud,HouleDominante,HouleMax,HoulePeriode,Mer,Temperature,JourNuit,VentDanger,HouleDanger,Ligne_Frioul-Vieux Port,Ligne_IF-Frioul,Ligne_IF-Vieux Port,Ligne_Vieux Port-Frioul,Ligne_Vieux Port-IF,Annulation
30947,13.0,0.7,1.1,4.0,2,22.0,0,1,0,0.0,0.0,0.0,0.0,1.0,1
30948,13.0,0.7,1.1,4.0,2,22.0,0,1,0,0.0,1.0,0.0,0.0,0.0,1
30949,10.0,0.7,1.1,4.0,2,25.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0
30950,10.0,0.7,1.1,4.0,2,25.0,0,0,0,0.0,0.0,0.0,0.0,1.0,1
30951,10.0,0.7,1.1,4.0,2,25.0,0,0,0,0.0,0.0,0.0,1.0,0.0,0
30952,12.0,0.7,1.1,4.0,2,22.0,0,0,0,0.0,1.0,0.0,0.0,0.0,1
30953,12.0,0.7,1.1,4.0,2,22.0,0,0,0,0.0,0.0,0.0,1.0,0.0,0
30954,12.0,0.7,1.1,4.0,2,22.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0
30955,12.0,0.7,1.1,4.0,2,22.0,0,0,0,0.0,0.0,0.0,0.0,1.0,1
30956,12.0,0.7,1.0,4.0,2,22.0,0,0,0,0.0,1.0,0.0,0.0,0.0,1
30957,10.0,0.7,1.1,4.0,2,22.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0
30958,10.0,0.7,1.1,4.0,2,22.0,0,0,0,0.0,0.0,0.0,1.0,0.0,0
30959,10.0,0.7,1.1,4.0,2,22.0,0,0,0,0.0,0.0,0.0,0.0,1.0,1
30960,10.0,0.7,1.1,4.0,2,22.0,0,0,0,0.0,1.0,0.0,0.0,0.0,1
30961,13.0,0.7,1.2,4.0,2,25.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0
30962,13.0,0.7,1.2,4.0,2,25.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0
30963,13.0,0.7,1.2,4.0,2,25.0,0,0,0,0.0,0.0,0.0,1.0,0.0,0
