,VentNoeud,HouleDominante,HouleMax,HoulePeriode,Mer,Temperature,JourNuit,VentMistral,HouleMistral,Annulation
16764,7.0,0.6,1.0,5.0,2,11.0,0,0,1,1
16767,5.0,0.6,1.0,5.0,2,12.0,0,0,0,1
16772,3.0,0.5,0.9,5.0,1,13.0,0,1,0,1
16788,3.0,0.5,0.8,5.0,1,8.0,0,1,0,1
16792,3.0,0.5,0.9,5.0,1,9.0,0,0,0,1
16796,2.0,0.5,1.1,4.0,1,8.0,0,1,0,1
16800,5.0,0.6,1.0,4.0,2,8.0,0,1,1,1
16804,2.0,0.6,1.1,4.0,2,8.0,0,1,1,1
16807,2.0,0.7,1.1,4.0,2,8.0,0,1,1,1
16823,12.0,0.8,1.2,5.0,2,6.0,0,1,0,1
16828,13.0,0.8,1.2,5.0,2,8.0,0,1,0,1
16831,14.0,0.9,1.5,5.0,2,9.0,0,1,0,1
16835,14.0,1.0,1.8,5.0,2,12.0,0,1,0,1
16839,13.0,1.1,1.7,5.0,2,12.0,0,1,0,1
16844,13.0,1.3,2.2,6.0,3,12.0,0,1,0,1
16862,9.0,0.9,1.4,5.0,2,6.0,0,1,0,1
16866,9.0,0.9,1.7,5.0,2,8.0,0,1,0,1
16870,10.0,0.8,1.7,5.0,2,9.0,0,1,0,1
16874,10.0,0.7,1.2,5.0,2,11.0,0,1,0,1
16878,10.0,0.7,1.1,5.0,2,11.0,0,1,0,1
16882,10.0,0.6,1.0,4.0,2,12.0,0,1,0,1
16924,13.0,0.6,1.0,4.0,2,12.0,0,0,0,1
16928,18.0,0.8,1.4,4.0,2,15.0,0,0,0,1
16932,20.0,1.0,1.9,4.0,2,16.0,0,0,0,1
16935,21.0,1.5,2.6,5.0,3,17.0,0,0,0,1
16939,21.0,1.6,2.6,5.0,3,17.0,0,0,0,1
16944,21.0,1.6,2.5,5.0,3,15.0,0,0,0,1
16959,17.0,1.6,2.7,6.0,3,11.0,0,0,0,1
16964,19.0,1.6,2.8,6.0,3,13.0,0,0,0,1
16967,18.0,1.6,2.4,6.0,3,15.0,0,0,0,1
16971,17.0,1.7,2.9,6.0,3,14.0,0,0,0,1
16975,15.0,1.6,2.6,6.0,3,14.0,0,0,0,1
16979,15.0,1.6,2.6,6.0,3,14.0,0,0,0,1
16995,14.0,1.4,2.3,6.0,3,14.0,0,0,0,1
